Scopus search,,,,,,
"search terms: TITLE-ABS-KEY ((""biological record*"" OR ""citizen science"" OR (atlas AND species) OR gbif OR ""Global Biodiversity Information Facility"" OR eBird OR ""National Biodiversity Data Centre"" OR ""NBN"" OR ""National Biodiversity Network"" OR ""Centre for Environmental Data and Recording"") AND (""Great Britain"" OR Ireland OR Scotland OR Wales OR ""Northern Ireland"" OR ""British Isles"" OR UK OR ""United Kingdom"") AND NOT (cancer OR disease OR palliative OR ""cross-sectional"" OR ""cross sectional"" OR ""New South Wales"" OR Pyle OR marmoset))",,,,,,
15 June 2018,,,,,,
,,,,,,
author,title,year,Source title,doi,link,search_venue
"Newson, S.E., Evans, H.E., Gillings, S., Jarrett, D., Raynor, R., Wilson, M.W.",Large-scale citizen science improves assessment of risk posed by wind farms to bats in southern Scotland,2017,Biological Conservation,10.1016/j.biocon.2017.09.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034100512&doi=10.1016%2fj.biocon.2017.09.004&partnerID=40&md5=eb920b238f0cb8a098b4ef76ea992d84,Scopus
"McKinney, M., Kark, S.",Factors shaping avian alien species richness in Australia vs Europe,2017,Diversity and Distributions,10.1111/ddi.12625,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028997945&doi=10.1111%2fddi.12625&partnerID=40&md5=b2b78087dfab7b46f10d826d2780fdc6,Scopus
"Maberly, S.C., Ciar, D., Elliott, J.A., Jones, I.D., Reynolds, C.S., Thackeray, S.J., Winfield, I.J.",From ecological informatics to the generation of ecological knowledge: Long-Term research in the English Lake District,2017,Ecological Informatics: Data Management and Knowledge Discovery: Third Edition,10.1007/978-3-319-59928-1_21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034402952&doi=10.1007%2f978-3-319-59928-1_21&partnerID=40&md5=fafc300bf3781d7c5485822661e6e709,Scopus
"Lei, G., Zhao, Z., Li, Y., Yu, L., Zhang, X., Yan, Y., Ma, X., Wang, Q., Wang, K., Zhang, D., Shen, W., Qiao, Y., Yang, S.",A method to induce human cortical long-term potentiation by acoustic stimulation,2017,Acta Oto-Laryngologica,10.1080/00016489.2017.1332428,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020307021&doi=10.1080%2f00016489.2017.1332428&partnerID=40&md5=1a0f68b858fa044a993076d73f525b95,Scopus
"Tricarico, E., Borrell, Y.J., García-Vázquez, E., Rico, J.M., Rech, S., Scapini, F., Johović, I., Rodríguez-Ezpeleta, N., Basurko, O.C., Rey, A., Gough, P., Aquiloni, L., Sposimo, P., Inghilesi, A.F., Haubrock, P., Delgado, J.F., Skukan, R., Hall, D., Marsh-Smith, S., Kilbey, D., Monteoliva, A.P., Muha, T.P., Rodríguez-Rey, M., Rolla, M., Rehwald, H.K., De Leaniz, C.G., Consuegra, S.",Developing innovative methods to face aquatic invasions in Europe: The Aquainvad-ED project,2017,Management of Biological Invasions,10.3391/mbi.2017.8.3.13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027729173&doi=10.3391%2fmbi.2017.8.3.13&partnerID=40&md5=2c41b73fa2422776e91c7f0d2a3aa998,Scopus
"Piria, M., Copp, G.H., Dick, J.T.A., Duplić, A., Groom, Q., Jelić, D., Lucy, F.E., Roy, H.E., Sarat, E., Simonović, P., Tomljanović, T., Tricarico, E., Weinlander, M., Adámek, Z., Bedolfe, S., Coughlan, N.E., Davis, E., Dobrzycka-Krahel, A., Grgić, Z., Kırankaya, Ş.G., Ekmekçi, F.G., Lajtner, J., Lukas, J.A.Y., Koutsikos, N., Mennen, G.J., Mitić, B., Pastorino, P., Ruokonen, T.J., Skóra, M.E., Smith, E.R.C., Šprem, N., Tarkan, A.S., Treer, T., Vardakas, L., Vehanen, T., Vilizzi, L., Zanella, D., Caffrey, J.M.",Tackling invasive alien species in Europe II: Threats and opportunities until 2020,2017,Management of Biological Invasions,10.3391/mbi.2017.8.3.02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027730014&doi=10.3391%2fmbi.2017.8.3.02&partnerID=40&md5=c4b34bcc4220f2ea4e93701b2a42697e,Scopus
"Belluigi, D.Z., Cundill, G.",Establishing enabling conditions to develop critical thinking skills: a case of innovative curriculum design in Environmental Science,2017,Environmental Education Research,10.1080/13504622.2015.1072802,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938674760&doi=10.1080%2f13504622.2015.1072802&partnerID=40&md5=53b0cd14dd5ea2f41df6260ef2f3834f,Scopus
"Aitamurto, T., Landemore, H., Saldivar Galli, J.","Unmasking the crowd: participants’ motivation factors, expectations, and profile in a crowdsourced law reform",2017,Information Communication and Society,10.1080/1369118X.2016.1228993,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988349928&doi=10.1080%2f1369118X.2016.1228993&partnerID=40&md5=ab801b7522bf8dc5104e95c0aa6c1a30,Scopus
"Tansey, C.J., Hadfield, J.D., Phillimore, A.B.",Estimating the ability of plants to plastically track temperature-mediated shifts in the spring phenological optimum,2017,Global Change Biology,10.1111/gcb.13624,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012072416&doi=10.1111%2fgcb.13624&partnerID=40&md5=d309149ffd411ec54a7619f52c1e3e9b,Scopus
"Tang, S.W., Tang, W.H., Leonard, B.E.",Herbal medicine for psychiatric disorders: Psychopharmacology and neuroscience-based nomenclature,2017,World Journal of Biological Psychiatry,10.1080/15622975.2017.1346279,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023179540&doi=10.1080%2f15622975.2017.1346279&partnerID=40&md5=faa97f6c78f4326ee668c3464fb63e26,Scopus
