author,title,year,articleURL,doi
JL Ogburn,Extending the Principles and Promise of Scholarly Communication Reform: A Chronicle and Future Glimpse,2015,http://libres.uncg.edu/ir/asu/f/Ogburn_Joyce_2016_Extending_Promise_Scholarly_Comunication.pdf,NA
"F Adinolfi, D Petruzzella, M Giannelli",Feeding the Mediterranean through knowledge,2017,http://om.ciheam.org/om/pdf/a120/a120.pdf#page=191,NA
"J Chadœuf, A Millon, JL Bourrioux, T Printemps",For Review Only,NA,http://www.cebc.cnrs.fr/publipdf/SP/Chadoeuf_MethEcolEvol.pdf,NA
"E Turicchia, C Cerrano, M Abbiati, M Ponti",FROM CITIZEN SCIENCES TO ENVIRONMENTAL QUALITY ASSESSMENT: THE PORTOFINO MPA CASE STUDY,2016,http://ciesm.org/online/archives/abstracts/pdf/41/CIESM_Congress_2016_Kiel_article_0552.pdf,NA
"G Campbell, H Portsmouth",Great Scallops (Pecten maximus)(Mollusca: Bivalvia) exhibit phenotypic plasticity,NA,http://www.academia.edu/download/34530827/Pecten_multivariate_allometry.pdf,NA
AO CEU,HbbTV history and educational possibilities: Teaching options in times of the internet,NA,http://www.academia.edu/download/40747559/DrFondevila_et_altri_Education_Applications___Developments_Chapter.pdf,NA
P Meusburger,Heidelberg City of Science,2016,http://www.heidelberg.de/site/Heidelberg_ROOT/get/documents_E1525312330/heidelberg/Objektdatenbank/80/PDF/80_pdf_Strategiepapier_Prof_Meusburger_englisch.pdf,NA
H Gür,"İklim değişikliği nedir, biyolojik sistemleri nasıl etkiler?",2016,https://www.researchgate.net/profile/Hakan_Guer/publication/308719696_Iklim_degisikligi_ve_bir_step_hayvani_olan_Anadolu_yer_sincabi_-_1_Iklim_degisikligi_nedir_biyolojik_sistemleri_nasil_etkiler/links/57ecb47b08ae93b7fa959c28.pdf,NA
R Hannigan,Imaging and elemental analyses of the growing edge of shells from a commercially important bay scallop shell (Argopecten irradians) using a multi-method …,NA,http://www.marshallplan.at/s/Moradi.pdf,NA
W de Boef,Increasing Resilience to Climate Change of Smallholder Farmers through Increased Use of Crop Genetic Diversity,2017,https://www.researchgate.net/profile/Walter_De_Boef/publication/319058967_Crop_Trust_KfW_Downstream_Report/data/598d6bcfa6fdcc58acbd2278/Crop-Trust-KfW-Downstream-Report.pdf,NA
"PA Kornic, MMJ Harty, JA Grant",Influence of Treatment Parameters on Symptom Relief in Individuals with Vitamin B12 Deficiency,2016,http://www.journalrepository.org/media/journals/ARRB_32/2017/Mar/Grant1152017ARRB31711.pdf,NA
J KŘEČEK,INTERNATIONAL FIELD PROJECT ON MANAGEMENT OF MOUNTAIN WATERSHEDS: A CHALLENGE FOR CITIZEN SCIENCE AND MULTI-DISCIPLINARY,2014,https://uni-eszterhazy.hu/public/uploads/international-strategies-in-higher-education_569faa965477c.pdf#page=59,NA
"A Donovan, A Suppasri, M Kuri, T Torayashiki",International Journal of Disaster Risk Reduction,2017,https://www.researchgate.net/profile/Amy_Donovan3/publication/319870998_The_complex_consequences_of_volcanic_warnings_Trust_risk_perception_and_experiences_of_businesses_near_Mount_Zao_following_the_2015_unrest_period/links/5ab26530a6fdcc1bc0c0d607/The-complex-consequences-of-volcanic-warnings-Trust-risk-perception-and-experiences-of-businesses-near-Mount-Zao-following-the-2015-unrest-period.pdf,NA
CVC Molina,Interoperabilidade entre o modelo de dados do Taxonomic Data Working Group (TDWG) e tags do OpenStreetMap para a espécie Sotalia Guianensis,2016,http://www.teses.usp.br/teses/disponiveis/100/100136/tde-20062016-143349/en.php,NA
"M Law, O Sweeney",Introducing NPA's new staff members,2014,https://search.informit.com.au/fullText;dn=769104337793667;res=IELHSS,NA
"M Hob, O Ga",Iss the Noctule Bat rea,2015,http://www.bsg-ecology.com/wp-content/uploads/2015/04/Is-the-noctule-bat-really-uncommon-.pdf,NA
